PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
27965.00,0.00,0.00,1121.00,B6,20409,JetBlue Airways,06673,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1
28010.00,10870.00,1469.00,854.00,UA,19977,United Air Lines Inc.,0A875,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1
28026.00,11534.00,30633.00,2075.00,AA,19805,American Airlines Inc.,0A050,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1
28091.00,4459.00,0.00,481.00,DL,19790,Delta Air Lines Inc.,01260,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
28108.00,30951.00,128.00,1258.00,AA,19805,American Airlines Inc.,0A050,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,1
28130.00,48175.00,0.00,1067.00,WN,19393,Southwest Airlines Co.,06725,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1
28131.00,48487.00,61629.00,1299.00,DL,19790,Delta Air Lines Inc.,01260,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
28219.00,21055.00,0.00,345.00,WN,19393,Southwest Airlines Co.,06725,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,14570,1457002,34570,RNO,"Reno, NV",NV,32,Nevada,85,1
28247.00,15702.00,19084.00,1299.00,DL,19790,Delta Air Lines Inc.,01260,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1
28257.00,44350.00,0.00,879.00,WN,19393,Southwest Airlines Co.,06725,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,1
28263.00,27043.00,30192.00,1440.00,AA,19805,American Airlines Inc.,0A050,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,1
28412.00,13464.00,66577.00,728.00,AA,19805,American Airlines Inc.,0A050,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,1
